recordType,agentRole,taskType,recordCount
dpo,embedding,fleet_delegation_preference,5
dpo,embedding,fleet_private_state_boundary,5
dpo,idle_reflection,fleet_delegation_preference,5
dpo,idle_reflection,fleet_private_state_boundary,5
dpo,orchestrator,fleet_delegation_preference,5
dpo,orchestrator,fleet_private_state_boundary,5
dpo,tone_adapter,fleet_delegation_preference,5
dpo,tone_adapter,fleet_private_state_boundary,5
dpo,tool_executor,fleet_delegation_preference,5
dpo,tool_executor,fleet_private_state_boundary,5
dpo,user_response,fleet_delegation_preference,5
dpo,user_response,fleet_private_state_boundary,5
sft,embedding,fleet_delegation,5
sft,embedding,fleet_peer_knowledge,5
sft,embedding,fleet_peer_source_knowledge,5
sft,embedding,fleet_self_knowledge,1
sft,embedding,fleet_whole_system_identity,1
sft,embedding,source_code_self_knowledge,1
sft,embedding,source_routing_knowledge,1
sft,embedding,source_tool_registry_knowledge,1
sft,idle_reflection,fleet_delegation,5
sft,idle_reflection,fleet_peer_knowledge,5
sft,idle_reflection,fleet_peer_source_knowledge,5
sft,idle_reflection,fleet_self_knowledge,1
sft,idle_reflection,fleet_whole_system_identity,1
sft,idle_reflection,source_code_self_knowledge,1
sft,idle_reflection,source_routing_knowledge,1
sft,idle_reflection,source_tool_registry_knowledge,1
sft,orchestrator,fleet_delegation,5
sft,orchestrator,fleet_peer_knowledge,5
sft,orchestrator,fleet_peer_source_knowledge,5
sft,orchestrator,fleet_self_knowledge,1
sft,orchestrator,fleet_whole_system_identity,1
sft,orchestrator,source_code_self_knowledge,1
sft,orchestrator,source_routing_knowledge,1
sft,orchestrator,source_tool_registry_knowledge,1
sft,tone_adapter,fleet_delegation,5
sft,tone_adapter,fleet_peer_knowledge,5
sft,tone_adapter,fleet_peer_source_knowledge,5
sft,tone_adapter,fleet_self_knowledge,1
sft,tone_adapter,fleet_whole_system_identity,1
sft,tone_adapter,source_code_self_knowledge,1
sft,tone_adapter,source_routing_knowledge,1
sft,tone_adapter,source_tool_registry_knowledge,1
sft,tool_executor,fleet_delegation,5
sft,tool_executor,fleet_peer_knowledge,5
sft,tool_executor,fleet_peer_source_knowledge,5
sft,tool_executor,fleet_self_knowledge,1
sft,tool_executor,fleet_whole_system_identity,1
sft,tool_executor,source_code_self_knowledge,1
sft,tool_executor,source_routing_knowledge,1
sft,tool_executor,source_tool_registry_knowledge,1
sft,user_response,fleet_delegation,5
sft,user_response,fleet_peer_knowledge,5
sft,user_response,fleet_peer_source_knowledge,5
sft,user_response,fleet_self_knowledge,1
sft,user_response,fleet_whole_system_identity,1
sft,user_response,source_code_self_knowledge,1
sft,user_response,source_routing_knowledge,1
sft,user_response,source_tool_registry_knowledge,1
