recordType,agentRole,taskType,recordCount
dpo,embedding,fleet_delegation_preference,5
dpo,embedding,fleet_private_state_boundary,5
dpo,idle_reflection,fleet_delegation_preference,5
dpo,idle_reflection,fleet_private_state_boundary,5
dpo,orchestrator,fleet_delegation_preference,5
dpo,orchestrator,fleet_private_state_boundary,5
dpo,tone_adapter,fleet_delegation_preference,5
dpo,tone_adapter,fleet_private_state_boundary,5
dpo,tool_executor,fleet_delegation_preference,5
dpo,tool_executor,fleet_private_state_boundary,5
dpo,user_response,fleet_delegation_preference,5
dpo,user_response,fleet_private_state_boundary,5
sft,embedding,fleet_delegation,5
sft,embedding,fleet_peer_knowledge,5
sft,embedding,fleet_self_knowledge,1
sft,idle_reflection,fleet_delegation,5
sft,idle_reflection,fleet_peer_knowledge,5
sft,idle_reflection,fleet_self_knowledge,1
sft,orchestrator,fleet_delegation,5
sft,orchestrator,fleet_peer_knowledge,5
sft,orchestrator,fleet_self_knowledge,1
sft,tone_adapter,fleet_delegation,5
sft,tone_adapter,fleet_peer_knowledge,5
sft,tone_adapter,fleet_self_knowledge,1
sft,tool_executor,fleet_delegation,5
sft,tool_executor,fleet_peer_knowledge,5
sft,tool_executor,fleet_self_knowledge,1
sft,user_response,fleet_delegation,5
sft,user_response,fleet_peer_knowledge,5
sft,user_response,fleet_self_knowledge,1
